label,seed,strategy,avg_retr,resp_p50,resp_p95,util,n_down,fails,viol
base:canonical,2050,near,11.435406302007848,96.54585238990694,483.825432199822,0.543633570810821,1,0,0
base:canonical,2050,score,11.070680610884983,97.49165465053557,643.5172544183542,0.5433924869634779,1,0,0
base:canonical,2050,awra,10.878485002946691,82.96965956903114,620.1323329028633,0.5438658424972848,1,0,0
base:canonical,2051,seq,19.951446517200896,637.7476809027248,1268.409923747924,0.5958384131257967,5,0,0
base:canonical,2051,near,11.450967761482348,613.5775938547777,1020.215721833566,0.5928901601234954,4,0,0
base:canonical,2051,score,10.885808131135692,606.0710543584435,998.9060499780708,0.5934068692048705,4,0,0
base:canonical,2051,awra,11.06520134566895,571.8040225708585,995.4978595666312,0.5934418357063477,4,0,0
base:canonical,2052,seq,21.461507036320025,184.01645651844046,717.326506623147,0.5586218424299468,3,0,0
base:canonical,2052,near,10.768872015152752,110.08972999371508,774.0785057657044,0.5589391559385832,1,0,0
base:canonical,2052,score,10.189441310514834,108.85971942767719,764.4283162915067,0.5590815437057716,1,0,0
base:canonical,2052,awra,10.50222501449299,100.0488567755715,764.0239869440138,0.5587909060938524,1,0,0
base:canonical,2053,seq,20.269000376662074,143.4356793498091,851.3926582660279,0.49640972743564266,3,0,0
base:canonical,2053,near,12.215950809492428,90.17274157488282,689.7403279660375,0.49500839569915106,3,0,0
base:canonical,2053,score,12.255636296493655,95.11839883102766,681.9888144846818,0.4948660197099151,3,0,0
base:canonical,2053,awra,11.86318093538028,103.4274236109768,763.7813830074037,0.49557922771769863,3,0,0
base:canonical,2054,seq,20.781413908083177,115.33333333333334,282.72250594891466,0.42400252241691977,0,0,0
base:canonical,2054,near,11.1980190685749,82.03410837983392,186.40585503237935,0.42427230134287397,0,0,0
base:canonical,2054,score,10.746418617675193,77.90890286608192,218.2783681446199,0.4245756301156771,0,0,0
base:canonical,2054,awra,10.197015335004682,72.83333333333303,184.78297969498863,0.4249419481051856,0,0,0
base:canonical,2055,seq,22.33421839105972,139.21233146790837,690.7785855397906,0.44802738232686795,3,0,0
base:canonical,2055,near,11.010448756145575,92.97250275972692,712.5813181652629,0.4481654267423614,3,0,0
base:canonical,2055,score,10.311449504003324,90.03112883363792,697.3019469616302,0.4481227059272252,3,0,0
base:canonical,2055,awra,11.41093836540338,107.27314372485489,701.3503377249485,0.448522080699226,3,0,0
G2_rho:low_0.60,2026,seq,19.422934023925457,107.0,769.627527388912,0.3926174080140276,1,0,0
G2_rho:low_0.60,2026,near,11.757961524729913,81.00204119016598,716.5339147186755,0.3929456711451377,1,0,0
G2_rho:low_0.60,2026,score,11.287552847860265,76.33333333333394,738.8544451398304,0.39282577472933594,1,0,0
G2_rho:low_0.60,2026,awra,10.740850585273417,73.83333333333394,666.9999999999999,0.39335385223078906,1,0,0
G2_rho:low_0.60,2027,seq,21.11765946629594,103.0,340.6602485779986,0.4200581070595615,1,0,0
G2_rho:low_0.60,2027,near,11.955387249970661,67.83333333333303,150.68601013684383,0.4199800643014624,0,0,0
G2_rho:low_0.60,2027,score,11.62703001551502,68.99018758282546,151.10113921450284,0.4198922852929708,0,0,0
G2_rho:low_0.60,2027,awra,10.521125156460284,67.0,144.25071014024525,0.42005252566906326,0,0,0
G2_rho:low_0.60,2028,seq,20.952695571713633,99.0,202.84152168661694,0.36511004340359127,0,0,0
G2_rho:low_0.60,2028,near,11.523569196951849,70.83333333333212,137.14691500361278,0.36549091973660597,0,0,0
G2_rho:low_0.60,2028,score,11.033982821178142,69.33333333333394,126.25556144532311,0.3653665753171412,0,0,0
G2_rho:low_0.60,2028,awra,10.6195045405319,67.0,160.82722563727884,0.3653446293145777,0,0,0
G2_rho:low_0.60,2029,seq,20.69726113346808,108.99018758282546,611.3721402414619,0.42705627620761344,1,0,0
G2_rho:low_0.60,2029,near,11.890566546324228,89.41673146539324,262.092256835891,0.42720590855968954,1,0,0
G2_rho:low_0.60,2029,score,11.165831533236231,89.09272967233119,234.4265935197527,0.4269542799892632,1,0,0
G2_rho:low_0.60,2029,awra,10.741096509672488,76.83333333333348,245.58287660886845,0.42716593482428106,1,0,0
G2_rho:low_0.60,2030,seq,20.862337945110802,179.63501910169907,1323.4417918998188,0.44387232873458676,5,0,0
G2_rho:low_0.60,2030,near,11.469415172933807,110.98356684188388,697.277153414896,0.4257565467756087,4,0,0
G2_rho:low_0.60,2030,score,10.985052432450125,112.16176045807879,673.3333333333339,0.4436325039140466,3,0,0
G2_rho:low_0.60,2030,awra,10.526490367591299,128.030733726403,694.9673451454846,0.4439572524219278,3,0,0
G2_rho:low_0.60,2031,seq,18.885464222057973,111.0,588.796520189353,0.44733491705138617,2,0,0
G2_rho:low_0.60,2031,near,11.30192466942541,74.60730069617057,257.54746884736227,0.4527740952145119,1,0,0
G2_rho:low_0.60,2031,score,10.913082197238815,74.82021874213751,221.08247267560796,0.452844782755997,1,0,0
G2_rho:low_0.60,2031,awra,10.860231865215148,75.14371416241556,439.2126331833533,0.45220052594593263,1,0,0
G2_rho:low_0.60,2032,seq,18.79037579293742,114.61091275040963,2145.6246766862732,0.3608737428713847,4,0,0
G2_rho:low_0.60,2032,near,11.773088022903975,100.50509467234383,1006.7848534326495,0.3605832381265629,4,0,0
G2_rho:low_0.60,2032,score,10.986264621778265,103.45088736006255,827.6447904287716,0.3607195970287588,4,0,0
G2_rho:low_0.60,2032,awra,11.005683733008894,89.33012437775972,876.8619557304974,0.3604318316175522,4,0,0
G2_rho:low_0.60,2033,seq,20.499360092836433,103.0,195.27328979987624,0.3618539804042512,1,0,0
G2_rho:low_0.60,2033,near,11.626586118930307,69.33333333333303,136.82693831263896,0.361420742091721,0,0,0
G2_rho:low_0.60,2033,score,11.546695665114443,68.83333333333303,143.34599019734924,0.3614206934150619,0,0,0
G2_rho:low_0.60,2033,awra,10.926492457162821,63.33333333333394,138.12807589149452,0.3614558355045642,0,0,0
G2_rho:low_0.60,2034,seq,21.550192023703847,103.33333333333348,663.0,0.3530263488432608,3,0,0
G2_rho:low_0.60,2034,near,12.373329108693673,69.33333333333326,322.49339249515106,0.3500775245904036,2,0,0
G2_rho:low_0.60,2034,score,11.996946470500454,68.33333333333303,328.87754818383837,0.34998543413472843,2,0,0
G2_rho:low_0.60,2034,awra,10.846082952591958,67.0,637.9621990206724,0.34357760951928196,2,0,0
G2_rho:low_0.60,2035,seq,21.46242746267772,178.2047809664532,796.9542753233309,0.3604424589746179,3,0,0
G2_rho:low_0.60,2035,near,10.978271837634153,99.03883074903752,616.0779287853879,0.36032101193462945,1,0,0
G2_rho:low_0.60,2035,score,10.485392245905544,90.4082097127266,574.0273484840723,0.36066802210388516,1,0,0
G2_rho:low_0.60,2035,awra,10.809719467826515,77.46954515692778,447.8525701829467,0.36067659718628015,1,0,0
G2_rho:low_0.60,2036,seq,19.09684112441088,130.9892059700469,1206.0060996643278,0.43337496084445387,5,0,0
G2_rho:low_0.60,2036,near,11.45117646439062,101.58570281075916,771.1465476928706,0.41580126345736296,5,0,0
G2_rho:low_0.60,2036,score,11.43842173790876,90.50479986419305,782.1871028105325,0.41532109781513454,5,0,0
