scenario,strat,n_runs,exp_t_mean,exp_t_ci95,energy_mean,energy_ci95,heavy_tier_mean,heavy_tier_ci95,hot_t_mean,hot_t_ci95,exp_t_relci_pct,fail_mean,viol_sum
dense_240,near,30,16.552,0.503,75282.137,1219.125,7.028,0.217,16.891,0.402,3.04,8.8,0
dense_240,score,30,16.0,0.512,73848.427,1365.689,6.835,0.232,16.22,0.396,3.2,7.63,0
dense_240,awra,30,12.185,0.471,61078.207,1102.916,1.537,0.027,14.447,0.519,3.87,0,0
dense_240,cb,30,9.464,0.381,93751.007,1213.526,6.155,0.28,5.265,0.116,4.03,0,0
dense_240,tob,30,7.697,0.321,75655.053,1092.114,7.21,0.223,4.967,0.014,4.17,9.7,0
heavy_sparse,random,30,17.795,1.184,30962.517,886.352,6.028,0.385,17.497,1.183,6.65,0,0
heavy_sparse,seq,30,18.182,1.061,33137.633,228.914,4.869,0.321,18.512,0.941,5.84,0,0
heavy_sparse,near,30,5.567,0.241,7750.79,54.93,2.156,0.138,5.558,0.182,4.33,0,0
heavy_sparse,score,30,4.624,0.287,6886.697,53.868,1.867,0.126,4.593,0.326,6.21,0,0
heavy_sparse,awra,30,3.199,0.207,6293.55,61.81,0.119,0.023,2.967,0.168,6.47,0,0
heavy_sparse,cb,30,3.683,0.287,12551.91,186.25,3.286,0.237,2.488,0.077,7.79,0,0
heavy_sparse,tob,30,2.982,0.22,7689.103,63.949,2.006,0.135,2.333,0.0,7.38,0,0
drift_skewless,random,30,19.208,0.642,44562.073,1048.505,6.965,0.3,19.392,0.845,3.34,0,0
drift_skewless,seq,30,18.55,0.683,43920.587,730.983,5.335,0.291,18.451,0.714,3.68,0,0
drift_skewless,near,30,8.84,0.296,20600.6,412.416,4.1,0.184,8.892,0.291,3.35,0,0
drift_skewless,score,30,8.53,0.363,20286.203,433.568,3.936,0.21,8.202,0.419,4.26,0,0
drift_skewless,awra,30,7.06,0.234,14532.47,382.166,0.529,0.019,6.724,0.445,3.31,0,0
drift_skewless,cb,30,7.789,0.437,33615.857,559.053,5.401,0.309,3.42,0.007,5.61,0,0
drift_skewless,tob,30,5.532,0.279,20724.853,416.098,3.997,0.168,3.417,0.0,5.04,0,0
drift_heavier,random,30,19.035,0.826,51960.41,1068.421,6.419,0.204,19.11,0.795,4.34,0,0
drift_heavier,seq,30,18.707,0.865,52316.883,558.463,4.792,0.239,19.119,0.753,4.62,0,0
drift_heavier,near,30,8.776,0.393,24159.893,329.839,4.1,0.184,8.892,0.291,4.48,0,0
drift_heavier,score,30,8.186,0.477,24046.517,333.823,4.024,0.201,8.357,0.326,5.83,0,0
drift_heavier,awra,30,5.774,0.259,19160.57,336.483,0.542,0.022,6.412,0.343,4.49,0,0
drift_heavier,cb,30,6.168,0.349,39001.8,612.825,5.257,0.294,3.574,0.1,5.66,0,0
