cycle,q_near_none,q_near_nightly,q_near_triggered,q_score_none,q_score_nightly,q_score_triggered
451,8.7713,8.7105,8.7105,8.843,8.5945,8.5945
452,8.8548,8.7953,8.7953,8.925,8.6818,8.6818
453,8.8661,8.7582,8.7582,8.936,8.6453,8.6453
454,8.8193,8.7454,8.7454,8.9174,8.6511,8.6511
455,8.8699,8.7946,8.7946,8.9371,8.666,8.666
456,8.8259,8.8829,8.8829,8.8894,8.7613,8.7613
457,8.8482,8.9072,8.9072,8.912,8.7851,8.7851
458,9.1486,9.1807,9.1807,9.2151,9.0533,9.0533
459,9.0413,9.0735,9.0735,9.1079,8.9459,8.9459
460,9.1273,9.1597,9.1597,9.1944,8.9797,8.9797
461,9.1401,9.2515,9.2515,9.2166,9.0736,9.0736
462,9.1926,9.1823,9.1823,9.2531,9.0052,9.0052
463,9.0231,9.0126,9.0126,9.0846,9.0962,9.0962
464,9.0554,9.0449,9.0449,9.117,9.0933,9.0933
465,9.0799,9.0689,9.0689,9.1442,9.1194,9.1194
466,9.0727,9.0971,9.0971,9.137,9.1476,9.1476
467,9.081,9.0782,9.0782,9.1453,9.1287,9.1287
468,9.2422,9.0699,9.0699,9.3046,9.1189,9.1189
469,9.1991,9.0784,9.0784,9.1376,9.0035,9.0035
470,8.9003,8.7852,8.7852,9.5566,9.4287,9.4287
471,8.9634,8.8424,8.8424,9.6532,9.5188,9.5188
472,9.0649,8.9357,8.9357,9.8018,9.6582,9.6582
473,9.2553,9.1207,9.1207,9.1868,9.0372,9.0372
474,9.2967,9.1623,9.1623,9.3662,9.2169,9.2169
475,9.0657,8.9276,8.9276,9.1372,8.9837,8.9837
476,9.1826,9.0504,9.0504,9.2511,9.1041,9.1041
477,8.7721,8.6467,8.6467,8.837,8.6976,8.6976
478,9.0098,8.9108,8.9108,9.0703,8.9582,8.9582
479,9.0775,8.8868,8.8868,9.1381,8.9343,8.9343
480,8.7899,8.8207,8.8207,8.8497,8.8676,8.8676
481,8.7201,8.9054,8.9054,8.7799,8.9523,8.9523
482,8.7333,8.7552,8.7552,8.7953,8.8038,8.8038
483,8.7433,8.7653,8.7653,8.8056,8.8141,8.8141
484,8.7451,8.7669,8.7669,8.8069,8.8153,8.8153
485,8.8169,8.8385,8.8385,8.878,8.8864,8.8864
486,8.727,8.7482,8.7482,8.7873,8.7955,8.7955
487,8.4353,8.4561,8.4561,8.4943,8.5024,8.5024
488,8.4331,8.4538,8.4538,8.4918,8.4998,8.4998
489,8.4275,8.4482,8.4482,8.4863,8.4943,8.4943
490,8.4646,8.4853,8.4853,8.5233,8.5313,8.5313
491,8.4563,8.477,8.477,8.5151,8.5231,8.5231
492,8.5909,8.6117,8.6117,8.65,8.6581,8.6581
493,8.3242,8.3466,8.3466,8.3876,8.3963,8.3963
494,8.3498,8.3721,8.3721,8.4131,8.4218,8.4218
495,8.3542,8.4063,8.4063,8.4166,8.4552,8.4552
496,8.1389,8.1653,8.1653,8.2026,8.2686,8.2686
497,8.4399,8.4654,8.4654,8.5015,8.491,8.491
498,8.2715,8.2953,8.2953,8.329,8.3192,8.3192
499,8.2203,8.2447,8.2447,8.2792,8.2692,8.2692
500,8.2333,7.2632,7.2632,8.2923,7.5527,7.5527
501,8.5055,7.4966,7.4966,8.5669,7.7977,7.7977
502,8.5912,7.5703,7.5703,8.6533,7.875,7.875
503,8.9213,7.8493,7.8493,8.9865,7.9302,7.9302
504,8.6749,7.6204,7.6204,8.739,7.8486,7.8486
505,8.7063,7.6432,7.6432,8.771,7.8732,7.8732
506,8.6445,7.6244,7.6244,8.7066,7.8451,7.8451
507,8.9557,7.8944,7.8944,9.0202,8.124,8.124
508,8.6692,7.6558,7.6558,8.7308,7.875,7.875
509,8.6307,7.6106,7.6106,8.6915,7.8335,7.8335
510,8.3763,7.9576,7.9576,8.4384,8.1528,8.1528
511,8.5555,7.7894,7.7894,8.6162,7.9802,7.9802
512,8.8411,8.1466,8.1466,8.8993,8.3294,8.3294
513,8.8041,8.0864,8.0864,8.8627,8.2702,8.2702
514,9.1043,8.353,8.353,9.1655,8.5454,8.5454
515,8.8842,8.1572,8.1572,8.9435,8.3434,8.3434
516,8.8947,8.1623,8.1623,8.9544,8.4096,8.4096
517,9.1017,8.354,8.354,9.1627,8.4027,8.4027
518,9.0583,8.2874,8.2874,9.1189,8.3841,8.3841
519,9.0583,8.2874,8.2874,9.1189,8.3841,8.3841
520,9.261,8.4864,8.4864,9.3237,8.5865,8.5865
521,9.2025,8.4527,8.4527,9.2648,8.5522,8.5522
522,9.156,8.3024,8.3024,9.2166,8.3992,8.3992
523,9.2466,8.3879,8.3879,9.3076,8.4365,8.4365
524,8.8952,8.0748,8.0748,8.9534,8.3349,8.3349
525,9.2181,8.7303,8.7303,9.2784,8.9997,8.9997
526,9.2103,8.6965,8.6965,9.2708,8.9664,8.9664
527,9.2452,8.7282,8.7282,9.306,8.9998,8.9998
528,9.5711,9.0333,9.0333,9.6343,9.0838,9.0838
529,9.2858,8.718,8.718,9.3526,8.7854,8.7854
530,9.5715,9.0381,9.0381,9.6343,9.1015,9.1015
531,9.6354,9.1011,9.1011,9.6983,9.1646,9.1646
532,9.611,9.077,9.077,9.6739,9.1405,9.1405
533,9.6051,9.0891,9.0891,9.6658,9.1504,9.1504
534,9.4259,8.9339,8.9339,9.4838,8.9924,8.9924
535,9.3974,8.8947,8.8947,9.4566,8.9544,8.9544
536,9.4086,8.908,8.908,9.4675,8.9675,8.9675
537,9.4179,8.9109,8.9109,9.4776,8.9711,8.9711
538,9.4423,8.9407,8.9407,9.5013,9.0003,9.0003
539,9.3759,8.9913,8.9913,9.4504,9.0511,9.0511
540,9.5889,8.6954,8.6954,9.5918,8.7533,8.7533
541,9.5011,8.5717,8.5717,9.5041,8.6308,8.6308
542,9.7303,8.7604,8.7604,9.7334,8.8221,8.8221
543,9.9026,8.8825,8.8825,9.9058,8.9473,8.9473
544,9.9123,8.8907,8.8907,9.9155,8.9556,8.9556
545,9.9422,8.9168,8.9168,9.9416,8.9781,8.9781
546,9.8313,8.8089,8.8089,9.8439,8.8832,8.8832
547,9.7087,8.737,8.737,9.7206,8.8076,8.8076
548,9.8378,8.8549,8.8549,9.8499,8.9263,8.9263
549,9.8416,8.8566,8.8566,9.8537,8.9282,8.9282
550,9.5899,9.1726,9.1726,9.6795,9.2464,9.2464
551,9.7156,8.9482,8.9482,9.7581,9.021,9.021
552,9.8154,9.052,9.052,9.8576,9.1244,9.1244
553,9.4575,8.7295,8.7295,9.4978,8.7985,8.7985
554,9.4511,8.7292,8.7292,9.491,8.7977,8.7977
555,9.4419,8.7078,8.7078,9.4825,8.7774,8.7774
556,9.4545,8.7227,8.7227,9.495,8.7921,8.7921
557,9.3781,8.6471,8.6471,9.4186,8.7164,8.7164
558,9.4322,8.6964,8.6964,9.4729,8.7662,8.7662
559,9.4849,8.8556,8.8556,9.5268,8.9274,8.9274
560,9.3432,8.527,8.527,9.3835,8.596,8.596
561,9.4443,8.8092,8.8092,9.4865,8.8817,8.8817
562,9.4602,8.7844,8.7844,9.5026,8.8571,8.8571
563,9.7789,9.0735,9.0735,9.8231,9.1493,9.1493
564,9.5737,8.8642,8.8642,9.6182,8.9404,8.9404
565,9.5286,8.8218,8.8218,9.5729,8.8977,8.8977
566,9.8218,9.1477,9.1477,9.8685,9.2247,9.2247
567,9.7381,9.0702,9.0702,9.7784,9.1404,9.1404
568,9.8379,9.1646,9.1646,9.8785,9.2353,9.2353
569,9.5741,8.8804,8.8804,9.6159,8.9533,8.9533
570,9.3866,8.6599,8.6599,9.4305,8.7363,8.7363
571,9.4987,8.7589,8.7589,9.5433,8.8367,8.8367
572,9.2972,8.9533,8.9533,9.343,9.033,9.033
573,9.7838,8.348,8.348,9.8267,8.4228,8.4228
574,9.9972,8.6401,8.6401,10.0439,8.7169,8.7169
575,9.7104,8.4158,8.4158,9.7286,8.4626,8.4626
576,9.7157,8.448,8.448,9.7334,8.4939,8.4939
577,9.6296,8.3631,8.3631,9.6474,8.409,8.409
578,9.6076,8.3543,8.3543,9.6251,8.3997,8.3997
579,9.7133,8.4134,8.4134,9.7315,8.4605,8.4605
580,9.6114,8.2922,8.2922,9.6299,8.34,8.34
