density,case,mode,delta,bg,exp_mean,ene_mean,fail_sum,viol_sum
200,skew,batch,0.1,0.6,9.884,42606.4,0,0
200,skew,batch,0.1,1.0,10.396,41921.5,0,0
200,skew,batch,0.1,1.4,10.692,41725.6,0,0
200,skew,batch,0.15,0.6,10.212,43806.0,0,0
200,skew,batch,0.15,1.0,10.478,42228.8,0,0
200,skew,batch,0.15,1.4,10.727,41898.2,0,0
200,skew,batch,0.2,0.6,10.584,45390.8,0,0
200,skew,batch,0.2,1.0,10.646,42808.9,0,0
200,skew,batch,0.2,1.4,10.779,42124.1,0,0
200,heavy,online,0.0,0.6,14.025,68658.9,9,0
200,heavy,online,0.0,1.0,14.025,68658.9,9,0
200,heavy,online,0.0,1.4,14.025,68658.9,9,0
200,heavy,online,0.05,0.6,13.734,68632.8,9,0
200,heavy,online,0.05,1.0,13.734,68632.8,9,0
200,heavy,online,0.05,1.4,13.741,68642.5,9,0
200,heavy,online,0.1,0.6,13.768,68253.2,9,0
200,heavy,online,0.1,1.0,13.804,68607.8,9,0
200,heavy,online,0.1,1.4,13.805,68632.8,9,0
200,heavy,online,0.15,0.6,13.816,68310.3,8,0
200,heavy,online,0.15,1.0,13.812,68271.4,9,0
200,heavy,online,0.15,1.4,13.822,68355.1,9,0
200,heavy,online,0.2,0.6,13.703,68558.8,6,0
200,heavy,online,0.2,1.0,13.8,68061.8,9,0
200,heavy,online,0.2,1.4,13.82,68271.4,9,0
200,heavy,batch,0.0,0.6,9.342,60461.1,0,0
200,heavy,batch,0.0,1.0,10.067,60129.9,0,0
200,heavy,batch,0.0,1.4,10.553,59990.1,0,0
200,heavy,batch,0.05,0.6,9.249,60515.3,0,0
200,heavy,batch,0.05,1.0,10.026,60142.4,0,0
200,heavy,batch,0.05,1.4,10.507,60001.3,0,0
200,heavy,batch,0.1,0.6,9.228,60607.6,0,0
200,heavy,batch,0.1,1.0,9.94,60195.6,0,0
200,heavy,batch,0.1,1.4,10.43,60022.8,0,0
200,heavy,batch,0.15,0.6,9.239,60811.9,0,0
200,heavy,batch,0.15,1.0,9.916,60254.7,0,0
200,heavy,batch,0.15,1.4,10.389,60050.9,0,0
200,heavy,batch,0.2,0.6,9.314,61439.9,0,0
200,heavy,batch,0.2,1.0,9.827,60362.2,0,0
200,heavy,batch,0.2,1.4,10.382,60103.3,0,0
240,uniform,online,0.0,0.6,16.533,69287.1,25,0
240,uniform,online,0.0,1.0,16.536,69281.3,25,0
240,uniform,online,0.0,1.4,16.551,69249.1,25,0
240,uniform,online,0.05,0.6,16.514,69370.3,25,0
240,uniform,online,0.05,1.0,16.517,69303.5,25,0
240,uniform,online,0.05,1.4,16.529,69293.2,25,0
240,uniform,online,0.1,0.6,16.449,69544.0,24,0
240,uniform,online,0.1,1.0,16.497,69309.6,25,0
240,uniform,online,0.1,1.4,16.496,69292.8,25,0
240,uniform,online,0.15,0.6,16.419,69513.7,24,0
240,uniform,online,0.15,1.0,16.415,69535.7,24,0
240,uniform,online,0.15,1.4,16.47,69355.4,25,0
240,uniform,online,0.2,0.6,16.191,68815.1,24,0
240,uniform,online,0.2,1.0,16.392,69473.2,24,0
