n_init,p_store,seed,policy,retr,store,resp,dead,leg
120,0.5,2050,io,34.7,26.231,30.519,3.922,4.124
120,0.5,2050,last,33.163,26.231,29.741,0.0,3.346
120,0.5,2050,center,39.855,46.231,43.003,16.81,16.608
120,0.5,2050,demand,34.7,26.231,30.519,3.922,4.124
120,0.5,2050,cog,31.492,33.8,32.632,6.254,6.237
120,0.5,2051,io,36.617,27.579,32.156,4.28,4.482
120,0.5,2051,last,34.002,27.579,30.832,0.0,3.158
120,0.5,2051,center,40.105,47.579,43.795,16.324,16.122
120,0.5,2051,demand,36.617,27.579,32.156,4.28,4.482
120,0.5,2051,cog,32.758,35.426,34.075,6.468,6.401
120,0.5,2052,io,34.508,26.144,30.378,3.98,4.147
120,0.5,2052,last,32.642,26.144,29.434,0.0,3.203
120,0.5,2052,center,39.138,46.144,42.596,16.532,16.365
120,0.5,2052,demand,34.508,26.144,30.378,3.98,4.147
120,0.5,2052,cog,30.863,33.908,32.366,6.146,6.134
120,0.5,2053,io,38.108,28.892,33.558,4.254,4.497
120,0.5,2053,last,37.108,28.892,33.052,0.0,3.991
120,0.5,2053,center,43.205,48.892,46.013,17.104,16.952
120,0.5,2053,demand,38.108,28.892,33.558,4.254,4.497
120,0.5,2053,cog,35.278,36.913,36.085,7.043,7.024
120,0.5,2054,io,34.638,26.279,30.511,3.834,4.067
120,0.5,2054,last,32.86,26.279,29.611,0.0,3.167
120,0.5,2054,center,40.16,46.279,43.181,16.873,16.737
120,0.5,2054,demand,34.638,26.279,30.511,3.834,4.067
120,0.5,2054,cog,31.215,33.203,32.196,5.746,5.752
120,0.5,2055,io,34.41,25.7,30.11,4.149,4.337
120,0.5,2055,last,33.165,25.7,29.48,0.0,3.706
120,0.5,2055,center,38.725,45.7,42.168,16.582,16.395
120,0.5,2055,demand,34.41,25.7,30.11,4.149,4.337
120,0.5,2055,cog,31.095,33.433,32.249,6.496,6.476
120,0.0,2026,io,35.523,27.472,31.548,3.747,3.934
120,0.0,2026,last,33.938,27.472,30.746,0.0,3.132
120,0.0,2026,center,41.013,47.472,44.201,16.775,16.587
120,0.0,2026,demand,32.14,33.113,32.62,4.925,5.006
120,0.0,2026,cog,32.208,34.764,33.47,5.903,5.856
120,0.0,2027,io,35.608,27.272,31.492,3.914,4.101
120,0.0,2027,last,33.593,27.272,30.472,0.0,3.081
120,0.0,2027,center,40.318,47.272,43.751,16.547,16.359
120,0.0,2027,demand,31.835,33.733,32.772,5.296,5.381
120,0.0,2027,cog,31.957,34.595,33.259,5.881,5.868
