theta,variant,seed,swap_n,fam_dist_drop,tot_dual,t_link_avg,avg_retr,exp2_final,fails,viol
0.5,base,2034,0,0.0,3151.7081,9.6868,10.7651,22.867,0,0
0.5,corr,2034,271,0.6062,3138.302,7.9616,11.3249,23.9357,0,0
0.5,link,2034,0,0.0,2846.856,5.135,11.3348,23.5289,0,0
0.5,corr_link,2034,271,0.6062,3014.9695,6.8135,11.4714,23.5894,0,0
1.0,base,2034,0,0.0,3151.7081,9.6868,10.7651,22.867,0,0
1.0,corr,2034,271,0.6062,3008.1276,6.6849,11.4832,23.3113,0,0
1.0,link,2034,0,0.0,2846.856,5.135,11.3348,23.5289,0,0
1.0,corr_link,2034,271,0.6062,2926.186,5.8938,11.4682,23.2312,0,0
0.0,base,2035,0,0.0,3054.123,9.2439,10.5987,23.1687,0,0
0.0,corr,2035,253,0.6155,3422.4087,9.8669,11.9549,24.386,0,0
0.0,link,2035,0,0.0,2726.9913,5.3739,10.7262,23.6385,0,0
0.0,corr_link,2035,253,0.6155,3094.9681,6.8621,11.8296,23.1534,0,0
0.5,base,2035,0,0.0,3054.123,9.2439,10.5987,23.1687,0,0
0.5,corr,2035,253,0.6155,3076.5226,7.7866,11.1402,23.9198,0,0
0.5,link,2035,0,0.0,2726.9913,5.3739,10.7262,23.6385,0,0
0.5,corr_link,2035,253,0.6155,2935.5351,6.278,11.3328,23.0887,0,0
1.0,base,2035,0,0.0,3054.123,9.2439,10.5987,23.1687,0,0
1.0,corr,2035,253,0.6155,3050.4895,7.2105,11.4605,23.5981,0,0
1.0,link,2035,0,0.0,2726.9913,5.3739,10.7262,23.6385,0,0
1.0,corr_link,2035,253,0.6155,2916.1333,5.8934,11.3615,23.9046,0,0
0.0,base,2036,0,0.0,3223.1883,10.1358,11.028,22.6499,0,0
0.0,corr,2036,266,0.6194,3454.2934,10.3913,11.8625,23.8485,0,0
0.0,link,2036,0,0.0,2842.5673,5.4743,11.254,23.0623,0,0
0.0,corr_link,2036,266,0.6194,3114.8138,7.229,11.8063,24.0154,0,0
0.5,base,2036,0,0.0,3223.1883,10.1358,11.028,22.6499,0,0
0.5,corr,2036,266,0.6194,3228.3961,7.5596,12.168,24.2666,0,0
0.5,link,2036,0,0.0,2842.5673,5.4743,11.254,23.0623,0,0
0.5,corr_link,2036,266,0.6194,3079.5904,6.1258,12.1359,24.0415,0,0
1.0,base,2036,0,0.0,3223.1883,10.1358,11.028,22.6499,0,0
1.0,corr,2036,266,0.6194,3014.436,6.2134,11.7063,24.3966,0,0
1.0,link,2036,0,0.0,2842.5673,5.4743,11.254,23.0623,0,0
1.0,corr_link,2036,266,0.6194,2999.0916,5.5315,11.9296,24.5724,0,0
0.0,base,2037,0,0.0,2974.9413,9.0838,10.2728,23.4106,0,0
0.0,corr,2037,260,0.5965,3488.5331,10.3372,11.9699,25.0674,0,0
0.0,link,2037,0,0.0,2784.9011,5.1975,11.1207,23.0216,0,0
0.0,corr_link,2037,260,0.5965,3094.9847,6.9074,11.8137,24.7252,0,0
0.5,base,2037,0,0.0,2974.9413,9.0838,10.2728,23.4106,0,0
0.5,corr,2037,260,0.5965,3227.5547,8.004,11.8458,24.7366,0,0
0.5,link,2037,0,0.0,2784.9011,5.1975,11.1207,23.0216,0,0
0.5,corr_link,2037,260,0.5965,3098.0486,6.4739,12.0024,25.058,0,0
1.0,base,2037,0,0.0,2974.9413,9.0838,10.2728,23.4106,0,0
1.0,corr,2037,260,0.5965,3011.8776,6.3733,11.6294,23.9843,0,0
1.0,link,2037,0,0.0,2784.9011,5.1975,11.1207,23.0216,0,0
1.0,corr_link,2037,260,0.5965,2925.7657,5.5733,11.6255,24.3664,0,0
0.0,base,2038,0,0.0,3035.2273,8.8992,10.5865,23.6124,0,0
0.0,corr,2038,278,0.614,3595.6052,9.9134,12.6738,24.2834,0,0
0.0,link,2038,0,0.0,2796.5709,5.4421,11.0034,24.2132,0,0
0.0,corr_link,2038,278,0.614,3289.8703,7.1127,12.7154,24.0503,0,0
0.5,base,2038,0,0.0,3035.2273,8.8992,10.5865,23.6124,0,0
0.5,corr,2038,278,0.614,3381.3915,8.0688,12.5259,24.3764,0,0
0.5,link,2038,0,0.0,2796.5709,5.4421,11.0034,24.2132,0,0
0.5,corr_link,2038,278,0.614,3239.9602,6.4199,12.6473,24.4656,0,0
1.0,base,2038,0,0.0,3035.2273,8.8992,10.5865,23.6124,0,0
1.0,corr,2038,278,0.614,3240.5758,6.2911,12.7907,24.2599,0,0
1.0,link,2038,0,0.0,2796.5709,5.4421,11.0034,24.2132,0,0
1.0,corr_link,2038,278,0.614,3156.1534,5.7885,12.624,24.1721,0,0
0.0,base,2039,0,0.0,3252.6321,10.0804,11.003,23.127,0,0
0.0,corr,2039,259,0.6112,3294.0771,9.6381,11.348,25.272,0,0
0.0,link,2039,0,0.0,2851.7099,5.2275,11.2556,23.1016,0,0
0.0,corr_link,2039,259,0.6112,3058.5509,7.2478,11.4097,24.1668,0,0
0.5,base,2039,0,0.0,3252.6321,10.0804,11.003,23.127,0,0
0.5,corr,2039,259,0.6112,3157.8459,8.3926,11.4096,23.7156,0,0
0.5,link,2039,0,0.0,2851.7099,5.2275,11.2556,23.1016,0,0
0.5,corr_link,2039,259,0.6112,2921.5529,6.7461,10.8256,23.8238,0,0
1.0,base,2039,0,0.0,3252.6321,10.0804,11.003,23.127,0,0
1.0,corr,2039,259,0.6112,3120.3124,7.4389,11.5996,24.0304,0,0
1.0,link,2039,0,0.0,2851.7099,5.2275,11.2556,23.1016,0,0
1.0,corr_link,2039,259,0.6112,2951.9573,6.4117,11.219,24.3057,0,0
0.0,base,2040,0,0.0,3068.1787,9.1302,10.7558,22.624,0,0
0.0,corr,2040,271,0.5824,3479.2851,10.025,12.0964,24.0687,0,0
0.0,link,2040,0,0.0,2773.3873,5.2772,10.9538,23.9644,0,0
0.0,corr_link,2040,271,0.5824,3136.8818,6.8627,12.0397,22.9498,0,0
0.5,base,2040,0,0.0,3068.1787,9.1302,10.7558,22.624,0,0
0.5,corr,2040,271,0.5824,3288.0221,8.6845,11.8886,24.0528,0,0
0.5,link,2040,0,0.0,2773.3873,5.2772,10.9538,23.9644,0,0
0.5,corr_link,2040,271,0.5824,3011.7253,6.1532,11.7761,24.3797,0,0
1.0,base,2040,0,0.0,3068.1787,9.1302,10.7558,22.624,0,0
1.0,corr,2040,271,0.5824,3071.894,6.5712,11.883,22.8275,0,0
1.0,link,2040,0,0.0,2773.3873,5.2772,10.9538,23.9644,0,0
1.0,corr_link,2040,271,0.5824,2974.3889,5.5378,11.8463,23.4651,0,0
0.0,base,2041,0,0.0,3044.4526,9.176,10.601,22.714,0,0
0.0,corr,2041,276,0.6034,3467.6718,10.455,11.7541,24.1771,0,0
0.0,link,2041,0,0.0,2805.8487,5.2813,11.1586,23.2651,0,0
0.0,corr_link,2041,276,0.6034,3108.4627,6.8097,11.7752,23.6507,0,0
0.5,base,2041,0,0.0,3044.4526,9.176,10.601,22.714,0,0
0.5,corr,2041,276,0.6034,3221.6667,8.3631,11.6442,24.5847,0,0
0.5,link,2041,0,0.0,2805.8487,5.2813,11.1586,23.2651,0,0
0.5,corr_link,2041,276,0.6034,3046.7674,6.4612,11.8373,23.5818,0,0
1.0,base,2041,0,0.0,3044.4526,9.176,10.601,22.714,0,0
