scenario,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
L120_uniform,2043,seq,120,0,4592.0,18.617074649951807,16.979166666666668,5.833333333333333,43329.90000000001,8.798127880769155,3240.0,0.6325,0
L120_uniform,2043,near,120,0,2196.0,8.706352839302555,8.375,3.125,18479.6,3.752279234096124,3240.0,0.6325,0
L120_uniform,2043,score,120,0,2196.0,8.431209110093508,7.75,2.9583333333333335,18244.1,3.704461004284351,3240.0,0.6325,0
L120_uniform,2043,awra,120,0,2196.0,7.240271941116875,4.354166666666667,0.4583333333333333,14239.499999999995,2.891327742695282,3240.0,0.6325,0
L120_uniform,2043,cb,120,0,3491.0,9.634047834270586,3.4166666666666665,4.333333333333333,31124.1,6.319742532843308,3752.0,0.6325,0
L120_uniform,2043,tob,120,0,2196.0,6.880124303663166,3.4166666666666665,3.125,18706.600000000002,3.798371540538896,3240.0,0.6325,0
L120_uniform,2044,random,120,0,4451.0,18.730614274358736,18.833333333333332,7.5,40965.30000000001,8.472482471924057,4488.0,0.6325,0
L120_uniform,2044,seq,120,0,4426.0,18.388663597053974,18.541666666666668,5.541666666666667,38964.799999999996,8.058737151248163,3160.0,0.6325,0
L120_uniform,2044,near,120,0,2196.0,9.092736495957947,8.958333333333334,4.625,20486.799999999992,4.237099542925687,3240.0,0.6325,0
L120_uniform,2044,score,120,0,2196.0,8.756608132934467,8.395833333333334,4.458333333333333,19864.69999999999,4.108436226758493,3240.0,0.6325,0
L120_uniform,2044,awra,120,0,2196.0,7.233078100314333,4.270833333333333,0.75,14012.000000000002,2.8979752228495794,3240.0,0.6325,0
L120_uniform,2044,cb,120,0,3527.0,9.518836559615021,3.4166666666666665,6.416666666666667,33137.5,6.853529399598769,3772.0,0.6325,0
L120_uniform,2044,tob,120,0,2196.0,6.7804976796498515,3.4166666666666665,4.25,19656.9,4.065458832288889,3240.0,0.6325,0
L120_uniform,2045,random,120,0,4634.0,19.799942963654527,21.770833333333332,7.083333333333333,43603.6,8.764014230297667,4578.0,0.6325,0
L120_uniform,2045,seq,120,0,4592.0,18.95871275378708,18.729166666666668,4.541666666666667,40435.299999999996,8.127208409543139,3240.0,0.6325,0
L120_uniform,2045,near,120,0,2196.0,9.320014990532291,9.979166666666666,4.0,19361.999999999996,3.8916246256507123,3240.0,0.6325,0
L120_uniform,2045,score,120,0,2196.0,9.025726350462863,9.5,3.8333333333333335,19152.09999999999,3.8494362149016106,3240.0,0.6325,0
L120_uniform,2045,awra,120,0,2196.0,7.3699604197349,4.354166666666667,0.625,15168.100000000008,3.0486804815790007,3240.0,0.6325,0
L120_uniform,2045,cb,120,0,3420.0,9.39361324426678,3.4166666666666665,5.583333333333333,33703.399999999994,6.774144272707176,3754.0,0.6325,0
L120_uniform,2045,tob,120,0,2196.0,6.797514398800766,3.4166666666666665,4.083333333333333,20681.099999999995,4.156754366570861,3240.0,0.6325,0
L120_uniform,2046,random,120,0,4874.0,20.091968972204256,18.3125,7.916666666666667,47910.49999999999,9.490986529318542,4630.0,0.6325,0
L120_uniform,2046,seq,120,0,4470.0,18.503689722042648,16.583333333333332,5.083333333333333,42663.20000000002,8.451505546751195,3180.0,0.6325,0
L120_uniform,2046,near,120,0,2196.0,9.067224305106656,9.291666666666666,4.375,20220.5,4.005645800316958,3240.0,0.6325,0
L120_uniform,2046,score,120,0,2196.0,8.728788623141563,8.979166666666666,4.625,20260.7,4.013609350237719,3240.0,0.6325,0
L120_uniform,2046,awra,120,0,2240.0,7.151122602887306,4.020833333333333,1.0,15977.2,3.1650554675118867,3226.0,0.6325,0
L120_uniform,2046,cb,120,0,3451.0,9.401427278603743,3.4166666666666665,5.916666666666667,33896.70000000001,6.714877179080823,3754.0,0.6325,0
L120_uniform,2046,tob,120,0,2196.0,6.739620771385474,3.4166666666666665,4.0,20213.0,4.00416006339144,3240.0,0.6325,0
L120_uniform,2047,random,120,0,4599.0,19.792549819022334,20.833333333333332,6.541666666666667,43652.59999999999,8.616608436469866,4378.0,0.6325,0
L120_uniform,2047,seq,120,0,4529.0,19.243974767457726,19.708333333333332,5.416666666666667,43209.499999999985,8.529144706973803,3208.0,0.6325,0
L120_uniform,2047,near,120,0,2196.0,9.128281474466503,9.1875,4.208333333333333,20026.5,3.953040800615858,3240.0,0.6325,0
L120_uniform,2047,score,120,0,2196.0,8.750815001484744,8.5,4.041666666666667,19984.9,3.9448293559148064,3240.0,0.6325,0
L120_uniform,2047,awra,120,0,2196.0,7.269509875522673,4.354166666666667,1.125,15833.900000000003,3.1254614002881906,3240.0,0.6325,0
L120_uniform,2047,cb,120,0,3372.0,9.425853725090487,3.4166666666666665,6.166666666666667,33301.30000000001,6.573360178441011,3708.0,0.6325,0
L120_uniform,2047,tob,120,0,2196.0,6.781350871983375,3.4166666666666665,4.583333333333333,20951.699999999997,4.135666489015218,3240.0,0.6325,0
L120_uniform,2048,random,120,0,4642.0,17.990097352235846,15.770833333333334,7.708333333333333,42091.9,8.770607601266871,4472.0,0.6325,0
L120_uniform,2048,seq,120,0,4529.0,19.04554019739638,18.0625,5.958333333333333,41632.70000000002,8.674924987497914,3208.0,0.6325,0
L120_uniform,2048,near,120,0,2196.0,9.088085635826145,8.5625,3.9166666666666665,19733.199999999997,4.111768628104681,3240.0,0.6325,0
L120_uniform,2048,score,120,0,2196.0,8.814812443884172,8.083333333333334,3.7916666666666665,19546.599999999995,4.072887147857973,3240.0,0.6325,0
L120_uniform,2048,awra,120,0,2196.0,7.345608644340163,4.270833333333333,0.5416666666666666,14075.099999999995,2.9328013002166995,3240.0,0.6325,0
L120_uniform,2048,cb,120,0,3447.0,9.603025781682158,3.4166666666666665,5.0,31389.000000000015,6.54046507751292,3738.0,0.6325,0
L120_uniform,2048,tob,120,0,2196.0,6.867877701561481,3.4166666666666665,3.9583333333333335,19738.4,4.112852142023669,3240.0,0.6325,0
L120_uniform,2049,random,120,0,4618.0,18.643162832307755,16.854166666666668,7.041666666666667,47945.10000000002,9.269589930978487,4662.0,0.6325,0
L120_uniform,2049,seq,120,0,4470.0,18.920296009284673,16.0625,7.25,45062.200000000004,8.712217002107382,3180.0,0.6325,0
L120_uniform,2049,near,120,0,2196.0,9.166063959041075,9.479166666666666,4.208333333333333,21351.499999999996,4.128047483711308,3240.0,0.6325,0
L120_uniform,2049,score,120,0,2196.0,8.879007640509215,8.916666666666666,3.8333333333333335,20921.299999999996,4.044873653887052,3240.0,0.6325,0
L120_uniform,2049,awra,120,0,2196.0,7.255660867778093,4.645833333333333,1.0416666666666667,16260.500000000002,3.143765829514917,3240.0,0.6325,0
L120_uniform,2049,cb,120,0,3456.0,9.602424531837471,3.4166666666666665,5.5,34288.5,6.6292558436285605,3768.0,0.6325,0
L120_uniform,2049,tob,120,0,2196.0,6.930732195316565,3.4166666666666665,3.9583333333333335,20775.2,4.016627032461382,3240.0,0.6325,0
L120_uniform,2050,random,120,0,4487.0,18.971490834939274,23.0,6.625,45698.8,8.839226305609284,4658.0,0.6325,0
L120_uniform,2050,seq,120,0,4592.0,18.024282769173638,16.604166666666668,5.666666666666667,43224.30000000001,8.360599613152806,3240.0,0.6325,0
L120_uniform,2050,near,120,0,2196.0,8.994456306701412,8.458333333333334,4.5,20550.2,3.974893617021276,3240.0,0.6325,0
L120_uniform,2050,score,120,0,2196.0,8.791124328546463,8.0625,4.583333333333333,20767.100000000002,4.016847195357833,3240.0,0.6325,0
L120_uniform,2050,awra,120,0,2196.0,7.244188205466383,4.5,0.625,16004.600000000004,3.0956673114119924,3240.0,0.6325,0
L120_uniform,2050,cb,120,0,3483.0,9.632526842135588,3.4166666666666665,5.041666666666667,34067.60000000001,6.589477756286267,3764.0,0.6325,0
L120_uniform,2050,tob,120,0,2196.0,6.883094256391215,3.4166666666666665,3.75,20406.499999999996,3.947098646034814,3240.0,0.6325,0
L120_uniform,2051,random,120,0,4666.0,20.03716433976615,20.645833333333332,5.833333333333333,45334.8,8.758486118892604,4472.0,0.6325,0
L120_uniform,2051,seq,120,0,4592.0,18.398560673447555,17.75,4.875,44575.60000000004,8.611811981994174,3240.0,0.6325,0
